V1,V2,V3
-170.27027027,62,-44
-169.998186105295,62,-43
-169.726101940591,62,-41
-169.454017775886,62,-39
-169.181933611181,62,-37
-168.909849446476,62,-35
-168.637765281772,62,-33
-168.365681117067,62,-31
-168.093596952362,62,-29
-167.821512787658,62,-27
-167.549428622953,62,-25
-167.277344458248,62,-23
-167.005260293544,62,-20
-166.733176128839,62,-14
-166.461091964134,62,-6
-166.18900779943,62,68
-165.916923634725,62,53
-165.64483947002,62,43
-165.372755305315,62,26
-165.100671140611,62,5
-164.828586975906,62,24
-164.556502811201,62,9
-164.284418646497,62,4
-164.012334481792,62,5
-163.740250317087,62,5
-163.468166152383,62,3
-163.196081987678,62,8
-162.923997822973,62,16
-162.651913658268,62,5
-162.379829493564,62,4
-162.107745328859,62,76
-161.835661164154,62,119
-161.56357699945,62,102
-161.291492834745,62,65
-161.01940867004,62,43
-160.747324505336,62,19
-160.475240340631,62,35
-160.203156175926,62,39
-159.931072011221,62,64
-159.658987846517,62,37
-159.386903681812,62,136
-159.114819517107,62,232
-158.842735352403,62,197
-158.570651187698,62,330
-158.298567022993,62,191
-158.026482858289,62,234
-157.754398693584,62,250
-157.482314528879,62,218
-157.210230364174,62,237
-156.93814619947,62,207
-156.666062034765,62,138
-156.39397787006,62,136
-156.121893705356,62,103
-155.849809540651,62,125
-155.577725375946,62,214
-155.305641211242,62,321
-155.033557046537,62,523
-154.761472881832,62,620
-154.489388717128,62,588
-154.217304552423,62,1052
-153.945220387718,62,1516
-153.673136223013,62,1516
-153.401052058309,62,1189
-153.128967893604,62,1018
-152.856883728899,62,1334
-152.584799564195,62,953
-152.31271539949,62,994
-152.040631234785,62,522
-151.768547070081,62,606
-151.496462905376,62,289
-151.224378740671,62,151
-150.952294575966,62,73
-150.680210411262,62,59
-150.408126246557,62,47
-150.136042081852,62,84
-149.863957917148,62,498
-149.591873752443,62,1009
-149.319789587738,62,1155
-149.047705423034,62,1297
-148.775621258329,62,1121
-148.503537093624,62,961
-148.231452928919,62,1137
