"Year","MeanSpawnLR","VarSpawnLR","MeanHatchLR","MedSpawnLR","DurSpawnLR","StartSpawnLR","EndSpawnLR","Spawn10LR","Spawn20LR"
1979,106.871753950815,20.2137699713255,120.441027460911,105.430726489904,17.9838905563064,96.4307264899035,117.430726489904,103.430726489904,104.430726489904
1981,108.02392754227,37.8738370712524,120.813639187,108.21028835527,24.6166893212722,94.2102883552698,119.21028835527,100.21028835527,103.21028835527
1982,110.171669378333,30.3063422055619,124.617430139209,110.554239239124,22.0204785435964,97.5542392391236,121.554239239124,104.554239239124,106.554239239124
1983,101.24197514901,46.0664255767938,113.628359693628,101.613615455382,27.1489007001886,87.6136154553818,114.613615455382,92.6136154553818,95.6136154553818
1985,107.122227847426,56.3524544600041,120.578938795662,106.543289051764,30.0273087598617,93.5432890517636,122.543289051764,99.5432890517636,100.543289051764
1987,110.70919659967,23.5597908496396,123.874419187062,110.834777412608,19.4153715801226,100.834777412608,120.834777412608,104.834777412608,106.834777412608
1988,110.384115554406,96.5004349309847,124.060093208038,111.324022346369,39.2938539582942,88.3240223463687,127.324022346369,97.3240223463687,102.324022346369
1989,110.138244317123,53.7724233808659,125.497317676196,109.640926640927,29.3318730069161,95.6409266409267,125.640926640927,101.640926640927,104.640926640927
1990,106.165200511679,113.632803169784,120.845295844962,105.319904666718,42.6394752631472,85.3199046667179,127.319904666718,94.3199046667179,98.3199046667179
1991,109.637053474653,17.4434528765938,124.842022418752,109.795031055901,16.7061439603968,101.795031055901,118.795031055901,104.795031055901,106.795031055901
1992,104.88062712552,56.4361059517693,118.53753089121,104.34309623431,30.0495872721791,91.3430962343096,121.34309623431,95.3430962343096,98.3430962343096
1993,109.693494186512,88.242310540223,123.279590286994,109.413903899518,37.5749513458576,91.413903899518,126.413903899518,98.413903899518,102.413903899518
1994,101.206504445064,127.90569013107,116.089422664323,102.117081780741,45.2381591369181,77.1170817807413,121.117081780741,87.1170817807413,92.1170817807413
1995,101.410410157707,135.258599031855,115.675798041645,102.734612116062,46.520292179969,74.7346121160617,119.734612116062,85.7346121160617,92.7346121160617
1996,99.6410236186833,90.4674660567017,114.244060495039,100.396963123644,38.0457547816734,78.3969631236442,115.396963123644,87.3969631236442,92.3969631236442
1997,100.005947765104,72.0311700559061,114.263373507678,99.7425742574257,33.9484715546149,83.7425742574257,118.742574257426,89.7425742574257,93.7425742574257
1998,103.235042181304,114.007365153453,115.873142336183,102.361899845121,42.7096926054877,81.3618998451213,124.361899845121,90.3618998451213,95.3618998451213
1999,113.062759858596,40.2207850635668,128.465330433588,112.597429425008,25.3679435709138,101.597429425008,126.597429425008,105.597429425008,107.597429425008
2000,106.250426096306,154.843304055625,120.653159062713,107.597267033593,49.7744197845641,76.5972670335927,126.597267033593,91.5972670335927,97.5972670335927
2001,106.632706741175,207.537124172279,118.981429188812,109.651277552363,57.6245953283532,68.6512775523632,127.651277552363,88.6512775523632,97.6512775523632
2002,118.748667744758,36.5262282784563,132.817633261999,119.931034482759,24.1747730590237,103.931034482759,128.931034482759,109.931034482759,113.931034482759
2003,112.447862685214,77.0223452936523,124.967822906837,112.480039778378,35.1049501452208,94.4800397783776,128.480039778378,101.480039778378,105.480039778378
2004,115.389499810725,49.0004838719672,128.63386410288,115.755635707845,28.0001382487922,101.755635707845,128.755635707845,106.755635707845,109.755635707845
2005,103.048829368364,192.224833814554,116.072143403726,104.976685964638,55.4580683132117,70.9766859646378,123.976685964638,82.9766859646378,91.9766859646378
2006,104.088832337456,88.7058658505237,117.314562541744,104.774269795712,37.6735166079353,82.7742697957116,119.774269795712,91.7742697957116,96.7742697957116
2007,120.207798993679,22.3712461200799,136.339594710319,120.868204283361,18.9193006720988,109.868204283361,126.868204283361,112.868204283361,116.868204283361
2008,120.387460669952,25.6062897174654,135.467542805476,120.919917864476,20.2410631015134,109.919917864476,127.919917864476,113.919917864476,116.919917864476
2009,123.851435682346,32.5376202046722,137.703287534198,124.148148148148,22.8167027257392,112.148148148148,134.148148148148,116.148148148148,119.148148148148
2010,114.63189427197,41.1903062709305,129.035152927775,115.596741344196,25.6718698254507,100.596741344196,125.596741344196,106.596741344196,110.596741344196
2011,106.123210175465,97.4020970465389,120.215062239668,105.908147935797,39.4770003007399,88.908147935797,127.908147935797,94.908147935797,97.908147935797
2013,106.46336116378,30.0950428994907,120.67913105762,106.784230106161,21.9435796166408,96.784230106161,117.784230106161,98.784230106161,102.784230106161
2015,107.649492565804,49.1983335290784,119.914744555194,107.73474801061,28.0566094969662,95.7347480106101,123.73474801061,98.7347480106101,101.73474801061
2017,93.7527659529592,164.211418829799,107.173149705763,93.5796162471966,51.2580013390766,69.5796162471966,118.579616247197,77.5796162471966,82.5796162471966
2019,92.3873561625384,377.307415464898,104.642675311475,86.7446808510638,77.6976103071283,61.7446808510638,123.744680851064,69.7446808510638,74.7446808510638
