,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2009,3.608,2.874,2.586,2.754,4.436,6.723,10.289,10.652,10.9,8.867,6.123,4.492
2010,4.145,3.705,3.414,3.462,4.727,6.68,8.854,10.487,11.219,9.107,6.443,4.866
2011,4.045,3.77,3.38,3.68,5.035,6.908,9.209,11.116,10.878,8.748,5.998,4.207
2012,2.999,2.317,2.117,2.739,4.443,7.023,8.758,10.555,10.156,8.234,5.955,4.377
2013,3.89,3.807,3.482,3.544,4.76,7.191,10.188,11.762,11.039,8.253,7.052,5.445
2014,4.752,4.405,3.949,4.381,6.825,8.95,11.718,13.582,13.098,9.925,7.54,6.551
2015,5.749,5.095,4.886,4.959,6.139,8.838,11.01,12.345,11.618,9.528,7.627,5.957
2016,5.248,5.157,5.108,5.722,6.827,9.601,12.085,13.34,13.443,10.779,8.439,6.387
2017,4.985,4.155,3.661,4.134,5.719,7.999,10.93,12.549,10.616,8.831,6.952,5.204
2018,4.682,4.198,4.042,4.487,5.593,8.169,10.518,11.587,11.899,10.604,8.34,6.641
2019,4.936,4.493,4.733,5.329,6.4,8.736,11.785,13.656,13.063,10.288,8.455,6.633
2020,4.631,3.406,3.113,3.82,5.79,8.581,11.099,12.897,11.77,9.42,6.927,5.194
2021,4.406,4.083,3.629,3.723,5.212,7.769,10.097,11.836,10.983,7.715,5.463,3.688
