"","par","est","sd","lwr","upr","model","Ecov"
"1","Ecov_beta",0.433627691808697,0.0424853614538885,0.350356383359076,0.516899000258319,"fit2","Fem30p"
"2","Ecov_beta",0.266443202670571,0.0706233120225946,0.128021511106286,0.404864894234857,"fit3","Fem30p"
"3","Ecov_beta",-0.458829608689213,0.0449384909872449,-0.546909051024213,-0.370750166354213,"fit2","mismatch"
"4","Ecov_beta",-0.357967733456019,0.0670392933906463,-0.489364748501686,-0.226570718410353,"fit3","mismatch"
"5","Ecov_beta",0.25650352926029,0.041494079799904,0.175175132852478,0.337831925668101,"fit2","SST"
"6","Ecov_beta",0.0788329935834967,0.0733007994955243,-0.0648365734277309,0.222502560594724,"fit3","SST"
"7","Ecov_beta",0.150309387845325,0.0602202321397608,0.0322777328513944,0.268341042839257,"fit2","noise1"
"8","Ecov_beta",-0.0136414345990867,0.100496100860738,-0.210613792286132,0.183330923087959,"fit3","noise1"
"9","Ecov_beta",-0.0767700764142576,0.033011958192354,-0.141473514471271,-0.0120666383572439,"fit2","noise2"
"10","Ecov_beta",-0.0364260804392051,0.0531124424295214,-0.140526467601067,0.0676743067226567,"fit3","noise2"
