"","est","sd","lwr","upr","q","model","year","Ecov"
"1",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1991,"Fem30p"
"2",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1992,"Fem30p"
"3",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1993,"Fem30p"
"4",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1994,"Fem30p"
"5",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1995,"Fem30p"
"6",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1996,"Fem30p"
"7",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1997,"Fem30p"
"8",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1998,"Fem30p"
"9",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",1999,"Fem30p"
"10",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2000,"Fem30p"
"11",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2001,"Fem30p"
"12",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2002,"Fem30p"
"13",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2003,"Fem30p"
"14",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2004,"Fem30p"
"15",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2005,"Fem30p"
"16",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2006,"Fem30p"
"17",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2007,"Fem30p"
"18",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2008,"Fem30p"
"19",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2009,"Fem30p"
"20",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2010,"Fem30p"
"21",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2011,"Fem30p"
"22",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2012,"Fem30p"
"23",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2013,"Fem30p"
"24",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2014,"Fem30p"
"25",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2015,"Fem30p"
"26",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2016,"Fem30p"
"27",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2017,"Fem30p"
"28",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2018,"Fem30p"
"29",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2019,"Fem30p"
"30",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2020,"Fem30p"
"31",0.703925571201838,0.192280279555248,0.483003709122724,1.02579154357846,"q1","fit0",2021,"Fem30p"
"32",0.496616362370416,0.429402865284678,0.21410591366279,1.15146698386725,"q1","fit1",1991,"Fem30p"
"33",0.496616362027165,0.265189738108531,0.29537544869537,0.834849316300015,"q1","fit1",1992,"Fem30p"
"34",0.357347542439568,0.251325968875428,0.218382676866164,0.584689108062523,"q1","fit1",1993,"Fem30p"
"35",0.380812774391306,0.249881751938963,0.233384448728868,0.621313298565107,"q1","fit1",1994,"Fem30p"
"36",0.525618399457687,0.249622429174544,0.32231164043696,0.85705643392741,"q1","fit1",1995,"Fem30p"
"37",0.606329109817351,0.24771403117559,0.373208281079898,0.984923063348604,"q1","fit1",1996,"Fem30p"
"38",0.648843722982616,0.245466233972138,0.40114618024309,1.04932762974045,"q1","fit1",1997,"Fem30p"
"39",0.668848162315151,0.249711829703337,0.410091695447187,1.0906946223943,"q1","fit1",1998,"Fem30p"
"40",0.583238747639309,0.331314312958623,0.304752257179409,1.11592566435468,"q1","fit1",1999,"Fem30p"
"41",0.508581358282026,0.263137077679619,0.303712484489985,0.851526561147431,"q1","fit1",2000,"Fem30p"
"42",0.412342823509092,0.266566601521016,0.24458242674003,0.695090973017141,"q1","fit1",2001,"Fem30p"
"43",0.41470716408539,0.264533295598102,0.246967112166834,0.696296903991844,"q1","fit1",2002,"Fem30p"
"44",0.426726636335234,0.259768950918801,0.256509767425401,0.709817223020059,"q1","fit1",2003,"Fem30p"
"45",0.414473046481137,0.259796793606467,0.249129197942163,0.689477803610794,"q1","fit1",2004,"Fem30p"
"46",0.403009528142585,0.267095733379262,0.238797719538029,0.680066532298983,"q1","fit1",2005,"Fem30p"
"47",0.317559472868294,0.27431708318388,0.185514994482883,0.543538490421701,"q1","fit1",2006,"Fem30p"
"48",0.242870773203595,0.276691302320516,0.141219613681722,0.417660795534715,"q1","fit1",2007,"Fem30p"
"49",0.189537419100875,0.272454415954736,0.111124838043042,0.323262072311283,"q1","fit1",2008,"Fem30p"
"50",0.205490085488025,0.261566678548483,0.123076919748656,0.343068748668719,"q1","fit1",2009,"Fem30p"
"51",0.30105993102484,0.260517369410613,0.180695934779655,0.501559786183215,"q1","fit1",2010,"Fem30p"
